,看板,標題,連結,作者,日期,推文數
0,Tech_Job,[新聞] AI 狂潮催生新貴階級！三星、SK 海力士,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1782220665.A.3E2.html,pl132, 6/23,3
1,Tech_Job,[請益] 瑟菲克斯科技公司評價,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1782225153.A.A88.html,fcu5566, 6/23,
2,Tech_Job,[請益] offer請益,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1782233197.A.841.html,PTTismylife, 6/24,9
3,Tech_Job,[公告] 板務處理,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1782257657.A.628.html,jerejesse, 6/24,2
4,Tech_Job,[請益] Offer 請益,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1782269747.A.679.html,DarkAngelX1, 6/24,3
5,Tech_Job,[新聞] 隨著AI5晶片完成流片，AI6計畫宣布，特,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1782269858.A.D83.html,stpiknow, 6/24,1
6,Tech_Job,[情報] 薪資查詢平台,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1585618843.A.D43.html,mmkntust, 3/31,37
7,Tech_Job,[公告] 多重帳號違規處理說明與適用原則,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1750676350.A.8BD.html,AreLies, 6/23,15
8,Tech_Job,[公告] 板務處理,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1772035949.A.968.html,jerejesse, 2/26,6
9,Tech_Job,[公告] Tech_Job板板規 2026.03.18,https://www.ptt.cc/bbs/Tech_Job/bbs/Tech_Job/M.1773796833.A.7C7.html,jerejesse, 3/18,3
